# (pos_lat,pos_lng),name,description,(busline1,busline2,busline3)

45.237330061975,19.80649497604369,Senteleki Kornelia - O.Š. Jožef Atila,0,none,12A,12B
45.23708830327558,19.808619285583486,Šarplaninska - O.Š. Jožef Atila,0,none,12A
45.23506353378809,19.810292984008782,Feješ Klare - Kotorska,0,none,12A
45.23441377903563,19.81398370361327,Kotorska - Braće Miladinov,0,none,12A
45.23500309179892,19.818189407348623,Heroja Pinkija - Mornarska,0,none,12A
45.237284732297205,19.821708465576165,Heroja Pinkija - Laze Lazarevića,0,none,12A
45.23950584398376,19.82527043914794,Ive Andrića - Bulevar Evrope,0,none,12A,11A,7B
45.24139447609352,19.830549026489248,BUL. CARA LAZARA - DOM ZDRAVLJA,0,none,9B,9AB,12A,18A
45.24269381853078,19.836321140289296,BUL. CARA LAZARA - PUŠKINOVA,0,none,9B,9AB,12A,18A
45.243872266205734,19.84097745513915,BUL. CARA LAZARA - BUL. OSLOBOĐENJA,0,none,9B,9AB,12A,18A
45.247603855908864,19.83919646835326,BUL. OSLOBOĐENJA - BRAĆE RIBNIKAR,0,none,7A,12A,13A,68A,71A,72A,73A,74A,76A
45.248797308569664,19.842350746154775,MAKSIMA GORKOG - SREMSKA,0,none,12A,60B,61B,62B,63B,64B,69B
45.25267963299055,19.84724309539794,ŽARKA ZRENJANINA - OPŠTINA,0,none,1A,1ZA,4B,8A,9B,9AB,12A,60B,61B,62B,63B,64B,69B,18A
45.25317812234826,19.843874240875238,BUL. MIHAJLA PUPINA - POTHODNIK,0,none,1A, 1ZA, 3B, 3AA, 4B, 6B, 8A, 12A, 18A, 19A
45.25493035324692,19.841685558319085,USPENSKA - ŠAFARIKOVA,0,none,10A, 10B, 12A, 12B, 15A, 15B

45.26408714586938,19.829604888916005,BUL. JAŠE TOMIĆA - ŽELEZNIČKA STANICA,0,none,7B,10A,11A,14A
45.26406449170999,19.823328519821157,BUL. JAŠE TOMIĆA - ŽELEZNIČKI PARK,0,none,7B,10A,11A,14A
45.26090037197725,19.820485378265374,RUMENAČKA - ABC SAMOPOSLUGA,0,none,3B,11A,5B,18A
45.24882374552821,19.824615980148305,CARA DUŠANA - FUTOŠKA,0,none,9A, 9AA, 11A
45.24370229929963,19.825055862426748,CARA DUŠANA - MEDICINSKA ŠKOLA,0,none,9A, 9AA, 11A
45.23723562510545,19.827620054244985,NARODNOG FRONTA - IVE ANDRIĆA,0,none,4A, 7B, 11A
45.24024997252973,19.838466907501214,NARODNOG FRONTA - ŠEKSPIROVA,0,none, 4A, 7B, 11A

45.24891816313702,19.791431690216054,Oceane - addname,0,none,00,00,00
45.24876709488754,19.791538978576654,Elliott - addname,0,none,00,00,00
45.24947711216649,19.793663288116445,Elsa - addname,0,none,00,00,00
45.250051162201046,19.79482200241088,Wellington - addname,0,none,00,00,00
45.25042882353336,19.797482753753652,Lydia - addname,0,none,00,00,00
45.247090210336445,19.793448711395257,Verlie - addname,0,none,00,00,00
45.24701467383113,19.793148303985586,King - addname,0,none,00,00,00
45.24508090509469,19.794693256378164,Jordi - addname,0,none,00,00,00
45.244582344668835,19.795444274902334,Webster - addname,0,none,00,00,00
45.2460931203782,19.799928928375234,Grant - addname,0,none,00,00,00
45.246213980699224,19.80087306594848,Brant - addname,0,none,00,00,00
45.246652097207345,19.800229335784902,Rusty - addname,0,none,00,00,00
45.247830462772974,19.799177909851064,Muriel - addname,0,none,00,00,00
45.24832899469198,19.799156452178945,Oda - addname,0,none,00,00,00
45.251108607603435,19.798362518310537,Calista - addname,0,none,00,00,00
45.250262652856534,19.791453147888177,Jordane - addname,0,none,00,00,00
45.251909231740434,19.790122772216787,Marvin - addname,0,none,00,00,00
45.25379745151567,19.790466094970693,Jewell - addname,0,none,00,00,00
45.25423550953167,19.795165325164785,Luisa - addname,0,none,00,00,00
45.253661501789196,19.795229698181142,Dexter - addname,0,none,00,00,00
45.25135030664542,19.798426891326898,Jamaal - addname,0,none,00,00,00
45.25227177480694,19.801838661193838,Emery - addname,0,none,00,00,00
45.252951536818905,19.80323340988158,Emilio - addname,0,none,00,00,00
45.25544392791986,19.802954460144036,Hillard - addname,0,none,00,00,00
45.25403913911477,19.806473518371572,Monserrate - addname,0,none,00,00,00
45.254129771699255,19.807353282928457,Tomasa - addname,0,none,00,00,00
45.25651637770163,19.81385495758056,Ezequiel - addname,0,none,00,00,00
45.25153158025191,19.80555083847045,Maude - addname,0,none,00,00,00
45.25104818268224,19.80555083847045,Alysa - addname,0,none,00,00,00
45.259537254118285,19.80889823532104,Gloria - addname,0,none,00,00,00
45.260020579430666,19.807825351715078,Keeley - addname,0,none,00,00,00
45.257679434148635,19.817202354431142,Quinten - addname,0,none,00,00,00
45.257770060923264,19.81803920364379,Vivian - addname,0,none,00,00,00
45.258963299966105,19.82172992324828,Moises - addname,0,none,00,00,00
45.26038307071492,19.821536804199212,Paula - addname,0,none,00,00,00
45.259084132901336,19.824390674591054,Christian - addname,0,none,00,00,00
45.259507046149665,19.826386238098134,Reese - addname,0,none,00,00,00
45.2594466301642,19.827866817474355,Maritza - addname,0,none,00,00,00
45.26056431548922,19.831686283111562,Buck - addname,0,none,00,00,00
45.260201825362095,19.83222272491454,Jany - addname,0,none,00,00,00
45.260745559684935,19.833123947143545,Johann - addname,0,none,00,00,00
45.26109294277618,19.832115436553945,Dominique - addname,0,none,00,00,00
45.255610083437304,19.835162425994863,Magnus - addname,0,none,00,00,00
45.25517203602452,19.834347034454336,Jeanie - addname,0,none,00,00,00
